PropertyIndex,ActualSalePrice,PredictedFairValue,DollarSpread,PercentageSpread,Action,RiskLevel,DecisionRecommendation
1336,135000.0,135073.1299180735,73.12991807350772,0.0541703096840798,FAIR VALUE,Moderate,Priced at fair market value (spread: +0.1%). Standard mortgage underwriting and acquisition approved.
811,144500.0,160432.12111080694,15932.12111080694,11.025689350039405,STRONG BUY,Low,"Undervalued by 11.0% ($15,932 upside). Acquire immediately below model fair value of $160,432."
141,260000.0,246536.48464354925,-13463.51535645075,-5.178275137096442,FAIR VALUE,Moderate,Priced at fair market value (spread: -5.2%). Standard mortgage underwriting and acquisition approved.
846,213000.0,201825.15140694316,-11174.848593056842,-5.246407790167532,FAIR VALUE,Moderate,Priced at fair market value (spread: -5.2%). Standard mortgage underwriting and acquisition approved.
925,175000.0,165961.4875992079,-9038.512400792097,-5.164864229024055,FAIR VALUE,Moderate,Priced at fair market value (spread: -5.2%). Standard mortgage underwriting and acquisition approved.
772,107000.0,137925.03927618053,30925.039276180527,28.901905865589278,STRONG BUY,Low,"Undervalued by 28.9% ($30,925 upside). Acquire immediately below model fair value of $137,925."
533,39300.0,38590.00490457834,-709.995095421662,-1.8066032962383256,FAIR VALUE,Moderate,Priced at fair market value (spread: -1.8%). Standard mortgage underwriting and acquisition approved.
29,68500.0,65501.22724156016,-2998.772758439838,-4.377770450277136,FAIR VALUE,Moderate,Priced at fair market value (spread: -4.4%). Standard mortgage underwriting and acquisition approved.
1051,200141.0,198525.72367180925,-1615.2763281907537,-0.8070691803232489,FAIR VALUE,Moderate,Priced at fair market value (spread: -0.8%). Standard mortgage underwriting and acquisition approved.
65,317000.0,300549.99462881044,-16450.00537118956,-5.189276142331091,FAIR VALUE,Moderate,Priced at fair market value (spread: -5.2%). Standard mortgage underwriting and acquisition approved.
765,264132.0,263511.81361059984,-620.1863894001581,-0.2348016860509738,FAIR VALUE,Moderate,Priced at fair market value (spread: -0.2%). Standard mortgage underwriting and acquisition approved.
1347,283463.0,303013.70006332325,19550.700063323253,6.897090647923451,FAIR VALUE,Moderate,Priced at fair market value (spread: +6.9%). Standard mortgage underwriting and acquisition approved.
175,243000.0,202729.5406622158,-40270.45933778421,-16.572205488800087,PASS / NEGOTIATE,High,"Overpriced by 16.6% (Overpayment risk: $40,270). Do not purchase at ask price. Submit counter-offer capped at $198,675."
394,109000.0,106026.76819964522,-2973.2318003547844,-2.7277355966557653,FAIR VALUE,Moderate,Priced at fair market value (spread: -2.7%). Standard mortgage underwriting and acquisition approved.
620,67000.0,60152.45924837938,-6847.540751620618,-10.220210077045698,PASS / NEGOTIATE,High,"Overpriced by 10.2% (Overpayment risk: $6,848). Do not purchase at ask price. Submit counter-offer capped at $58,949."
1389,131000.0,131864.59662695168,864.5966269516794,0.6599974251539538,FAIR VALUE,Moderate,Priced at fair market value (spread: +0.7%). Standard mortgage underwriting and acquisition approved.
115,176000.0,177438.27526235324,1438.2752623532433,0.8172018536097972,FAIR VALUE,Moderate,Priced at fair market value (spread: +0.8%). Standard mortgage underwriting and acquisition approved.
1417,340000.0,309610.82012128795,-30389.17987871205,-8.937994081974132,FAIR VALUE,Moderate,Priced at fair market value (spread: -8.9%). Standard mortgage underwriting and acquisition approved.
946,143000.0,142347.6159859351,-652.3840140649118,-0.4562125972481901,FAIR VALUE,Moderate,Priced at fair market value (spread: -0.5%). Standard mortgage underwriting and acquisition approved.
427,109008.0,103904.22723086711,-5103.772769132891,-4.682016704400494,FAIR VALUE,Moderate,Priced at fair market value (spread: -4.7%). Standard mortgage underwriting and acquisition approved.
813,157900.0,156633.19826635925,-1266.8017336407502,-0.8022810219384104,FAIR VALUE,Moderate,Priced at fair market value (spread: -0.8%). Standard mortgage underwriting and acquisition approved.
1402,193879.0,203155.07204101857,9276.072041018575,4.784464558316566,FAIR VALUE,Moderate,Priced at fair market value (spread: +4.8%). Standard mortgage underwriting and acquisition approved.
1106,179900.0,188534.64282023674,8634.642820236739,4.799690283622423,FAIR VALUE,Moderate,Priced at fair market value (spread: +4.8%). Standard mortgage underwriting and acquisition approved.
866,248900.0,248083.02978180314,-816.9702181968605,-0.3282323094402814,FAIR VALUE,Moderate,Priced at fair market value (spread: -0.3%). Standard mortgage underwriting and acquisition approved.
623,168500.0,176447.67432216194,7947.67432216194,4.7167206659714775,FAIR VALUE,Moderate,Priced at fair market value (spread: +4.7%). Standard mortgage underwriting and acquisition approved.
44,141000.0,140226.6389312026,-773.3610687974142,-0.5484830275158965,FAIR VALUE,Moderate,Priced at fair market value (spread: -0.5%). Standard mortgage underwriting and acquisition approved.
59,124900.0,131402.531692559,6502.531692558987,5.206190306292223,FAIR VALUE,Moderate,Priced at fair market value (spread: +5.2%). Standard mortgage underwriting and acquisition approved.
363,118000.0,111898.20460196419,-6101.795398035814,-5.171013049182893,FAIR VALUE,Moderate,Priced at fair market value (spread: -5.2%). Standard mortgage underwriting and acquisition approved.
398,67000.0,70179.57285033481,3179.5728503348073,4.745631119902698,FAIR VALUE,Moderate,Priced at fair market value (spread: +4.7%). Standard mortgage underwriting and acquisition approved.
422,113000.0,101653.95471992543,-11346.04528007457,-10.04074803546422,PASS / NEGOTIATE,High,"Overpriced by 10.0% (Overpayment risk: $11,346). Do not purchase at ask price. Submit counter-offer capped at $99,621."
494,91300.0,81031.03933051342,-10268.96066948658,-11.247492518605236,PASS / NEGOTIATE,High,"Overpriced by 11.2% (Overpayment risk: $10,269). Do not purchase at ask price. Submit counter-offer capped at $79,410."
416,149500.0,159837.7117870504,10337.711787050386,6.914857382642399,FAIR VALUE,Moderate,Priced at fair market value (spread: +6.9%). Standard mortgage underwriting and acquisition approved.
585,369900.0,349161.2610031534,-20738.7389968466,-5.606579885603299,FAIR VALUE,Moderate,Priced at fair market value (spread: -5.6%). Standard mortgage underwriting and acquisition approved.
270,266000.0,260011.12319041922,-5988.876809580775,-2.251457447210818,FAIR VALUE,Moderate,Priced at fair market value (spread: -2.3%). Standard mortgage underwriting and acquisition approved.
351,190000.0,206251.25355592903,16251.253555929026,8.553291345225803,FAIR VALUE,Moderate,Priced at fair market value (spread: +8.6%). Standard mortgage underwriting and acquisition approved.
723,135000.0,135724.13371730957,724.1337173095671,0.536395346155235,FAIR VALUE,Moderate,Priced at fair market value (spread: +0.5%). Standard mortgage underwriting and acquisition approved.
1238,142500.0,134882.0366385294,-7617.963361470611,-5.3459392010320075,FAIR VALUE,Moderate,Priced at fair market value (spread: -5.3%). Standard mortgage underwriting and acquisition approved.
1264,181000.0,149561.25266778492,-31438.747332215076,-17.369473664207224,PASS / NEGOTIATE,High,"Overpriced by 17.4% (Overpayment risk: $31,439). Do not purchase at ask price. Submit counter-offer capped at $146,570."
1333,125500.0,128481.76665673638,2981.7666567363776,2.375909686642532,FAIR VALUE,Moderate,Priced at fair market value (spread: +2.4%). Standard mortgage underwriting and acquisition approved.
274,124500.0,140116.48578908245,15616.48578908245,12.543362079584297,STRONG BUY,Low,"Undervalued by 12.5% ($15,616 upside). Acquire immediately below model fair value of $140,116."
322,301000.0,277106.61436263705,-23893.385637362953,-7.938001872878058,FAIR VALUE,Moderate,Priced at fair market value (spread: -7.9%). Standard mortgage underwriting and acquisition approved.
78,136500.0,137388.8191163304,888.8191163304145,0.6511495357731976,FAIR VALUE,Moderate,Priced at fair market value (spread: +0.7%). Standard mortgage underwriting and acquisition approved.
1019,213490.0,199908.67833546893,-13581.321664531075,-6.3615727502604695,FAIR VALUE,Moderate,Priced at fair market value (spread: -6.4%). Standard mortgage underwriting and acquisition approved.
275,205000.0,184873.2350224043,-20126.76497759571,-9.817934135412541,FAIR VALUE,Moderate,Priced at fair market value (spread: -9.8%). Standard mortgage underwriting and acquisition approved.
763,337000.0,310909.2200569004,-26090.779943099595,-7.742071199732817,FAIR VALUE,Moderate,Priced at fair market value (spread: -7.7%). Standard mortgage underwriting and acquisition approved.
220,204900.0,219067.65076616543,14167.650766165432,6.914422043028518,FAIR VALUE,Moderate,Priced at fair market value (spread: +6.9%). Standard mortgage underwriting and acquisition approved.
316,260000.0,263449.4717519903,3449.4717519903206,1.3267199046116618,FAIR VALUE,Moderate,Priced at fair market value (spread: +1.3%). Standard mortgage underwriting and acquisition approved.
1006,163500.0,171393.21050214322,7893.210502143222,4.827651683268026,FAIR VALUE,Moderate,Priced at fair market value (spread: +4.8%). Standard mortgage underwriting and acquisition approved.
1451,287090.0,263783.00948457944,-23306.990515420563,-8.11835679244159,FAIR VALUE,Moderate,Priced at fair market value (spread: -8.1%). Standard mortgage underwriting and acquisition approved.
70,244000.0,301923.43804691185,57923.43804691185,23.739113953652396,STRONG BUY,Low,"Undervalued by 23.7% ($57,923 upside). Acquire immediately below model fair value of $301,923."
15,132000.0,132962.54947550644,962.5494755064428,0.7292041481109415,FAIR VALUE,Moderate,Priced at fair market value (spread: +0.7%). Standard mortgage underwriting and acquisition approved.
1357,149900.0,160812.31739837636,10912.317398376355,7.279731419864147,FAIR VALUE,Moderate,Priced at fair market value (spread: +7.3%). Standard mortgage underwriting and acquisition approved.
742,179000.0,170411.67316020888,-8588.326839791116,-4.797947955190568,FAIR VALUE,Moderate,Priced at fair market value (spread: -4.8%). Standard mortgage underwriting and acquisition approved.
708,179540.0,196307.04724727638,16767.04724727638,9.338892306603753,FAIR VALUE,Moderate,Priced at fair market value (spread: +9.3%). Standard mortgage underwriting and acquisition approved.
1375,239000.0,254704.24168521137,15704.241685211367,6.57081242059053,FAIR VALUE,Moderate,Priced at fair market value (spread: +6.6%). Standard mortgage underwriting and acquisition approved.
1001,86000.0,94145.86721666648,8145.867216666476,9.471938624030786,FAIR VALUE,Moderate,Priced at fair market value (spread: +9.5%). Standard mortgage underwriting and acquisition approved.
1209,290000.0,300722.0477836655,10722.047783665475,3.6972578564363707,FAIR VALUE,Moderate,Priced at fair market value (spread: +3.7%). Standard mortgage underwriting and acquisition approved.
1084,187500.0,173371.1749486849,-14128.8250513151,-7.535373360701386,FAIR VALUE,Moderate,Priced at fair market value (spread: -7.5%). Standard mortgage underwriting and acquisition approved.
464,124000.0,128732.07499438735,4732.0749943873525,3.816189511602704,FAIR VALUE,Moderate,Priced at fair market value (spread: +3.8%). Standard mortgage underwriting and acquisition approved.
1271,185750.0,180939.90337302344,-4810.096626976563,-2.589554038749159,FAIR VALUE,Moderate,Priced at fair market value (spread: -2.6%). Standard mortgage underwriting and acquisition approved.
1397,137500.0,145364.5435393009,7864.54353930091,5.71966802858248,FAIR VALUE,Moderate,Priced at fair market value (spread: +5.7%). Standard mortgage underwriting and acquisition approved.
382,213500.0,207035.239002566,-6464.760997434001,-3.0279910995007033,FAIR VALUE,Moderate,Priced at fair market value (spread: -3.0%). Standard mortgage underwriting and acquisition approved.
1428,119000.0,109112.93654170366,-9887.06345829634,-8.308456687643982,FAIR VALUE,Moderate,Priced at fair market value (spread: -8.3%). Standard mortgage underwriting and acquisition approved.
731,187500.0,203269.02268409808,15769.022684098076,8.410145431518973,FAIR VALUE,Moderate,Priced at fair market value (spread: +8.4%). Standard mortgage underwriting and acquisition approved.
1340,123000.0,105612.75979647579,-17387.240203524212,-14.135967645141637,PASS / NEGOTIATE,High,"Overpriced by 14.1% (Overpayment risk: $17,387). Do not purchase at ask price. Submit counter-offer capped at $103,501."
1215,125000.0,103857.81516385259,-21142.18483614741,-16.913747868917927,PASS / NEGOTIATE,High,"Overpriced by 16.9% (Overpayment risk: $21,142). Do not purchase at ask price. Submit counter-offer capped at $101,781."
332,284000.0,293101.3398592066,9101.339859206579,3.2046971335234433,FAIR VALUE,Moderate,Priced at fair market value (spread: +3.2%). Standard mortgage underwriting and acquisition approved.
544,179665.0,206763.99463480068,27098.994634800678,15.083068285309146,STRONG BUY,Low,"Undervalued by 15.1% ($27,099 upside). Acquire immediately below model fair value of $206,764."
203,149000.0,135469.1914130306,-13530.80858696939,-9.08107958857006,FAIR VALUE,Moderate,Priced at fair market value (spread: -9.1%). Standard mortgage underwriting and acquisition approved.
1133,239500.0,233068.54493481969,-6431.455065180315,-2.6853674593654757,FAIR VALUE,Moderate,Priced at fair market value (spread: -2.7%). Standard mortgage underwriting and acquisition approved.
1414,207000.0,180216.20983558876,-26783.790164411243,-12.939029064932967,PASS / NEGOTIATE,High,"Overpriced by 12.9% (Overpayment risk: $26,784). Do not purchase at ask price. Submit counter-offer capped at $176,612."
429,175000.0,190497.89225474503,15497.892254745035,8.855938431282876,FAIR VALUE,Moderate,Priced at fair market value (spread: +8.9%). Standard mortgage underwriting and acquisition approved.
1113,134500.0,133765.50203103526,-734.4979689647444,-0.5460951442117059,FAIR VALUE,Moderate,Priced at fair market value (spread: -0.5%). Standard mortgage underwriting and acquisition approved.
746,236000.0,229667.87192568014,-6332.128074319859,-2.683105116237228,FAIR VALUE,Moderate,Priced at fair market value (spread: -2.7%). Standard mortgage underwriting and acquisition approved.
590,185900.0,186264.2527958327,364.2527958326973,0.19594018065233854,FAIR VALUE,Moderate,Priced at fair market value (spread: +0.2%). Standard mortgage underwriting and acquisition approved.
1277,197900.0,198705.72235607143,805.7223560714338,0.4071361071609064,FAIR VALUE,Moderate,Priced at fair market value (spread: +0.4%). Standard mortgage underwriting and acquisition approved.
1117,130000.0,119822.23980583542,-10177.760194164584,-7.829046303203527,FAIR VALUE,Moderate,Priced at fair market value (spread: -7.8%). Standard mortgage underwriting and acquisition approved.
591,451950.0,435337.1231041079,-16612.876895892085,-3.675821859916381,FAIR VALUE,Moderate,Priced at fair market value (spread: -3.7%). Standard mortgage underwriting and acquisition approved.
586,130000.0,116227.1798108122,-13772.820189187798,-10.594477068605999,PASS / NEGOTIATE,High,"Overpriced by 10.6% (Overpayment risk: $13,773). Do not purchase at ask price. Submit counter-offer capped at $113,903."
1094,129000.0,122367.07216047654,-6632.927839523458,-5.14180452676237,FAIR VALUE,Moderate,Priced at fair market value (spread: -5.1%). Standard mortgage underwriting and acquisition approved.
198,104000.0,134843.62884915335,30843.62884915335,29.657335431878217,STRONG BUY,Low,"Undervalued by 29.7% ($30,844 upside). Acquire immediately below model fair value of $134,844."
916,35311.0,27528.355211304355,-7782.644788695645,-22.040284298648142,PASS / NEGOTIATE,High,"Overpriced by 22.0% (Overpayment risk: $7,783). Do not purchase at ask price. Submit counter-offer capped at $26,978."
716,159500.0,206069.94432920316,46569.944329203165,29.197457259688502,STRONG BUY,Low,"Undervalued by 29.2% ($46,570 upside). Acquire immediately below model fair value of $206,070."
1044,278000.0,315333.48167709995,37333.481677099946,13.429309955791346,STRONG BUY,Low,"Undervalued by 13.4% ($37,333 upside). Acquire immediately below model fair value of $315,333."
43,130250.0,132066.05002972583,1816.0500297258259,1.3942802531484266,FAIR VALUE,Moderate,Priced at fair market value (spread: +1.4%). Standard mortgage underwriting and acquisition approved.
1033,230000.0,241479.9082403678,11479.908240367804,4.991264452333828,FAIR VALUE,Moderate,Priced at fair market value (spread: +5.0%). Standard mortgage underwriting and acquisition approved.
1031,197000.0,223480.4139062647,26480.4139062647,13.441834470185126,STRONG BUY,Low,"Undervalued by 13.4% ($26,480 upside). Acquire immediately below model fair value of $223,480."
231,403000.0,344567.8350503972,-58432.1649496028,-14.499296513549082,PASS / NEGOTIATE,High,"Overpriced by 14.5% (Overpayment risk: $58,432). Do not purchase at ask price. Submit counter-offer capped at $337,676."
527,446261.0,422107.4106149036,-24153.58938509639,-5.412435634101207,FAIR VALUE,Moderate,Priced at fair market value (spread: -5.4%). Standard mortgage underwriting and acquisition approved.
101,178000.0,175045.6843245061,-2954.315675493912,-1.6597279075808495,FAIR VALUE,Moderate,Priced at fair market value (spread: -1.7%). Standard mortgage underwriting and acquisition approved.
883,118500.0,140793.99483189298,22293.994831892982,18.813497748432898,STRONG BUY,Low,"Undervalued by 18.8% ($22,294 upside). Acquire immediately below model fair value of $140,794."
411,145000.0,141357.0275630115,-3642.9724369884934,-2.512394784129995,FAIR VALUE,Moderate,Priced at fair market value (spread: -2.5%). Standard mortgage underwriting and acquisition approved.
1025,112500.0,115920.8978850508,3420.8978850507992,3.040798120045155,FAIR VALUE,Moderate,Priced at fair market value (spread: +3.0%). Standard mortgage underwriting and acquisition approved.
907,250000.0,224198.52585823266,-25801.474141767336,-10.320589656706934,PASS / NEGOTIATE,High,"Overpriced by 10.3% (Overpayment risk: $25,801). Do not purchase at ask price. Submit counter-offer capped at $219,715."
782,187100.0,186160.77655392396,-939.2234460760374,-0.5019900834185127,FAIR VALUE,Moderate,Priced at fair market value (spread: -0.5%). Standard mortgage underwriting and acquisition approved.
1278,237000.0,243011.8026153035,6011.802615303488,2.5366255760774212,FAIR VALUE,Moderate,Priced at fair market value (spread: +2.5%). Standard mortgage underwriting and acquisition approved.
621,240000.0,258182.32424167392,18182.324241673923,7.575968434030801,FAIR VALUE,Moderate,Priced at fair market value (spread: +7.6%). Standard mortgage underwriting and acquisition approved.
669,137500.0,124612.74019501275,-12887.259804987247,-9.37255258544527,FAIR VALUE,Moderate,Priced at fair market value (spread: -9.4%). Standard mortgage underwriting and acquisition approved.
128,155000.0,139297.81907533103,-15702.180924668966,-10.130439306238042,PASS / NEGOTIATE,High,"Overpriced by 10.1% (Overpayment risk: $15,702). Do not purchase at ask price. Submit counter-offer capped at $136,512."
530,175000.0,183781.57643640353,8781.576436403528,5.018043677944873,FAIR VALUE,Moderate,Priced at fair market value (spread: +5.0%). Standard mortgage underwriting and acquisition approved.
910,154300.0,171788.90302924358,17488.90302924358,11.334350634636149,STRONG BUY,Low,"Undervalued by 11.3% ($17,489 upside). Acquire immediately below model fair value of $171,789."
652,191000.0,196006.50547413874,5006.505474138743,2.6212070545229023,FAIR VALUE,Moderate,Priced at fair market value (spread: +2.6%). Standard mortgage underwriting and acquisition approved.
1450,136000.0,123099.48513912955,-12900.514860870448,-9.485672691816506,FAIR VALUE,Moderate,Priced at fair market value (spread: -9.5%). Standard mortgage underwriting and acquisition approved.
1069,135000.0,119948.89743984686,-15051.102560153144,-11.148964859372699,PASS / NEGOTIATE,High,"Overpriced by 11.1% (Overpayment risk: $15,051). Do not purchase at ask price. Submit counter-offer capped at $117,550."
247,140000.0,155250.28511433827,15250.285114338272,10.893060795955908,STRONG BUY,Low,"Undervalued by 10.9% ($15,250 upside). Acquire immediately below model fair value of $155,250."
529,200624.0,260271.58480748633,59647.58480748633,29.73103158519735,STRONG BUY,Low,"Undervalued by 29.7% ($59,648 upside). Acquire immediately below model fair value of $260,272."
